Part Code,Description,Category,Subcategory,Quantity Type,,
SBL0000,25mm Solid Round Bar Acetal Black (3mtr lengths),Acetal,Round Bar,Length,,
SDC0001,20mm x 1.2 x 2.4 Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0037,100mm x 10mm Flat Bar 316 S/S,Stainless Steel,Flat Bar,Length,,
SDC0039,100mm x 6mm Flat Bar 316 S/S,Stainless Steel,Flat Bar,Length,,
SDC0041,8mm x 6.1 x 1.2 Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0044,8mm x 1.5m x 3m Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0048,118mm x 63mm Hollow Bar 4140 Steel,4140 Steel,Hollow Bar,Length,,
SDC0049,8mm x 1.5 x 6.1 Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0050,12mm x 1.2 x 2.4m Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0085,100mm x 1.6mm Tube  316S/S,Stainless Steel,Tube,Length,,
SDC0092,40 x 40 x 2.0 Painted RHS Mild Steel,Mild Steel,Box Section,Length,,
SDC0093,4mm x 100mm x 4m Flat Bar 6060 T5 Aluminium,Aluminium,Flat Bar,Length,,
SDC0094,"2"" Solid Bar Brass",Brass,Round Bar,Length,,
SDC0095,16mm x 1.2 x 2.4m Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0129,30mm x 130mm Sheet Black Acetal cut in strips,Acetal,Sheet,Each,,
SDC0140,100mmx100mmx5mm Box Section 316 S/S,Stainless Steel,Box Section,Length,,
SDC0144,8mm x 1.2 x 2.4m Plate 5083 Aluminium,Aluminium,Plate,Each,,
SDC0147,100 x 25mm Flat Bar 316 S/S,Stainless Steel,Flat Bar,Length,,
SDC0181,80mm x 80mm x 3mm Box Section S/S 316,Stainless Steel,Box Section,Length,,
SDC0182,100mmX100mmX3mm Box Section S/S 316,Stainless Steel,Box Section,Length,,
SDC0192,10mm x 10mm 316 SS square bar (key steel),Stainless Steel,Flat Bar,Length,,
SDC0225,100 x 65 x 6 RHS 6060 Aluminium,Aluminium,Box Section,Length,,
SDC0266,"1.5"" x 6m Schd 40 Seamless Pipe 316 S/S",Stainless Steel,Pipe,Length,,
SDC0275,"1"" x 1.6mm wall Mirror Tube 316 S/S",Stainless Steel,Tube,Length,,
SDC0281,150 x 100 x 5mm x 6m Box Section 6060 Aluminium,Aluminium,Box Section,Length,,
SDC0282,100 x 80 x 5mm x 6m Box Section 6060 Aluminium,Aluminium,Box Section,Length,,
SDC0283,88.9 x 6.35mm x 6m Pipe 6060 Aluminium,Aluminium,Pipe,Length,,
SDC0284,110mm Solid Bar Aluminium 6061,Aluminium,Round Bar,Length,,
SDC0289,25.4mm x 1.6wt T316 WBP A554 Tube -320Grit,Stainless Steel,Tube,Length,,
SDC0290,31.75mm x 1.6wt T316 WBP A554 TUBE - 320 GRI,Stainless Steel,Tube,Length,, 
SDC0291,101.6 Solid Round Bar 6061 Ali,Aluminium,Round Bar,Length,,
